drug_name,brand_name,generic_name,interacts_with_list,description,source
ADALIMUMAB-AACF,IDACIO,ADALIMUMAB-AACF,"Substrates The, Warnings, Biological Products, Concomitant, Avoid, There, Live Vaccines, Upon, Clinical Pharmacology, Precautions, Cytochrome, Increased, Methotrexate Adalimumab, Anakinra, Abatacept, Live, Although","7 DRUG INTERACTIONS • Abatacept: Increased risk of serious infection. ( 5.1 , 5.11 , 7.2 ) • Anakinra: Increased risk of serious infection. ( 5.1 , 5.7 , 7.2 ) • Live vaccines: Avoid use with IDACIO. ( 5.10 , 7.3 ) 7.1 Methotrexate Adalimumab has been studied in rheumatoid arthritis (RA) patients taking concomitant methotrexate (MTX). Although MTX reduced the apparent adalimumab clearance, the data do not suggest the need for dose adjustment of either IDACIO or MTX [see Clinical Pharmacology ( 12.3 )] . 7.2 Biological Products In clinical studies in patients with RA, an increased risk of serious infections has been observed with the combination of TNF blockers with anakinra or abatacept, with no added benefit; therefore, use of IDACIO with abatacept or anakinra is not recommended in patients with RA [see Warnings and Precautions ( 5.7 , 5.11 )] . A higher rate of serious infections has also been observed in patients with RA treated with rituximab who received subsequent treatment with ",FDA_openFDA
WARFARIN SODIUM,WARFARIN SODIUM,WARFARIN SODIUM,"Inhibitors, Serotonin Reuptake, Boxed Warning, Inducers, Pharmacodynamic, Inflammatory Agents, Drugs, Antiplatelet Agents, Antifungals There, Closely, Anti, Risk, Bleeding Drug, Foods More, More, Advise, Examples, Risk Examples, Concomitant, Can Increase","7 DRUG INTERACTIONS Concomitant use of drugs that increase bleeding risk, antibiotics, antifungals, botanical (herbal) products, and inhibitors and inducers of CYP2C9, 1A2, or 3A4. ( 7 ) Consult labeling of all concurrently used drugs for complete information about interactions with warfarin sodium or increased risks for bleeding. ( 7 ) 7.1 General Information Drugs may interact with warfarin sodium through pharmacodynamic or pharmacokinetic mechanisms. Pharmacodynamic mechanisms for drug interactions with warfarin sodium are synergism (impaired hemostasis, reduced clotting factor synthesis), competitive antagonism (vitamin K), and alteration of the physiologic control loop for vitamin K metabolism (hereditary resistance). Pharmacokinetic mechanisms for drug interactions with warfarin sodium are mainly enzyme induction, enzyme inhibition, and reduced plasma protein binding. It is important to note that some drugs may interact by more than one mechanism. More frequent INR monitoring sho",FDA_openFDA
PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,PENTAZOCINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE,"Inhibitors, Opioid Analgesics, Evaluate, Reserve, Diuretics Opioids, Pentazocine, Limit, Inform, Mixed Agonist, Carcinogenesis, Nervous System, Anticholinergic Drugs, Avoid, The Concomitant, Tobacco Smoking, Monoamine Oxidase, Concomitant, Fertility Studies, Information, Muscle Relaxants","DRUG INTERACTIONS Benzodiazepines and Other Central Nervous System (CNS) Depressants Due to additive pharmacologic effect, the concomitant use of benzodiazepines or other CNS depressants including alcohol, benzodiazepines and other sedative hypnotics, anxiolytics, and tranquilizers, muscle relaxants, general anesthetics, antipsychotics, and other opioids, can increase the risk of hypotension, respiratory depression, profound sedation, coma, and death. Reserve concomitant prescribing of these drugs for use in patients for whom alternative treatment options are inadequate. Limit dosages and durations to the minimum required. Inform patients and caregivers of this potential interaction, educate them on the signs and symptoms of respiratory depression (including sedation). If concomitant use is warranted, consider prescribing an opioid overdose reversal agent [see WARNINGS, DOSAGE AND ADMINISTRATION]. Serotonergic Drugs The concomitant use of opioids with other drugs that affect the seroto",FDA_openFDA
BUPRENORPHINE,BUPRENORPHINE,BUPRENORPHINE,"Inhibitors, Inducers, Clinically Significant, Impact, Cessation, Rifampin, None Serotonergic, Clinical Pharmacology, Anticholinergic Drugs, Opioids, Nucleoside, Before, Monoamine Oxidase, Examples, Macrolide, Concomitant, Depressants Clinical, Muscle Relaxants, Alcohol, Protease","7 DRUG INTERACTIONS Table 3 includes clinically significant drug interactions with buprenorphine. Table 3. Clinically Significant Drug Interactions Benzodiazepines or other Central Nervous System (CNS) Depressants Clinical Impact: Due to additive pharmacologic effects, the concomitant use of benzodiazepines or other CNS depressants, including alcohol, increases the risk of respiratory depression, profound sedation, coma, and death. Intervention: Cessation of benzodiazepines or other CNS depressants is preferred in most cases of concomitant use. In some cases, monitoring in a higher level of care for taper may be appropriate. In others, gradually tapering a patient off of a prescribed benzodiazepine or CNS depressant or decreasing to the lowest effective dose may be appropriate. Before co-prescribing benzodiazepines for anxiety or insomnia, ensure that patients are appropriately diagnosed and consider alternative medications and non-pharmacologic treatments [see Warnings and Precautions",FDA_openFDA
FENTANYL CITRATE,FENTANYL CITRATE,FENTANYL CITRATE,"Opioid Analgesics, Phenelzine, Injection Inhibitors, Mixed Agonist, Clinically Significant, Impact, Rifampin, Clinical Pharmacology, Nervous System, Nitrous, Anticholinergic Drugs, Avoid, Opioids, Even, Monoamine Oxidase, Citrate Injection, Examples, Macrolide, Butorphanol, Fentanyl","7 DRUG INTERACTIONS Table 2 includes clinically significant drug interactions with Fentanyl Citrate Injection. Table 2: Clinically Significant Drug Interactions with Fentanyl Citrate Injection Inhibitors of CYP3A4 Clinical Impact: The concomitant use of Fentanyl Citrate Injection and CYP3A4 inhibitors can increase the plasma concentration of fentanyl, resulting in increased or prolonged opioid effects, particularly when an inhibitor is added after a stable dose of Fentanyl Citrate Injection is achieved [see Warnings and Precautions ( 5.4 )] . After stopping a CYP3A4 inhibitor, as the effects of the inhibitor decline, the fentanyl plasma concentration will decrease [see Clinical Pharmacology ( 12.3 )] , resulting in decreased opioid efficacy or a withdrawal syndrome in patients who had developed physical dependence to fentanyl. Intervention: If concomitant use is necessary, consider dosage reduction of Fentanyl Citrate Injection until stable drug effects are achieved [see Dosage and Adm",FDA_openFDA
OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,"Inhibitors, Opioid Analgesics, Evaluate, Reserve, Limit, Inform, Mixed Agonist, Clinically Significant, Impact, Rifampin, Clinical Pharmacology, Nervous System, Anticholinergic Drugs, Avoid, Oxycodone, Opioids, Antagonist Opioid, Monoamine Oxidase, Examples, Macrolide","7 DRUG INTERACTIONS Table 1 includes clinically significant drug interactions with oxycodone hydrochloride. Table 1: Clinically Significant Drug Interactions with Oxycodone Hydrochloride Inhibitors of CYP3A4 and CYP2D6 Clinical Impact: The concomitant use of oxycodone hydrochloride and CYP3A4 inhibitors can increase the plasma concentration of oxycodone, resulting in increased or prolonged opioid effects. These effects could be more pronounced with concomitant use of oxycodone hydrochloride and CYP2D6 and CYP3A4 inhibitors, particularly when an inhibitor is added after a stable dose of oxycodone hydrochloride is achieved [see Warnings and Precautions (5.3)] . After stopping a CYP3A4 inhibitor, as the effects of the inhibitor decline, the oxycodone plasma concentration will decrease [see Clinical Pharmacology (12.3)] , resulting in decreased opioid efficacy or a withdrawal syndrome in patients who had developed physical dependence to oxycodone. Intervention: If concomitant use is necess",FDA_openFDA
INSULIN LISPRO,ADMELOG,INSULIN LISPRO,"Dose, Hypoglycemia Drugs, Drugs, Clinically Significant, Antidiabetic, Blood Glucose, Risk, May Increase, May Decrease, Increased, Decrease, Pentamidine, Atypical, Alcohol, Lowering Effect, Signs, Intervention, Beta, Symptoms, Drugs That","7 DRUG INTERACTIONS Table 2 presents clinically significant drug interactions with ADMELOG. Table 2: Clinically Significant Drug Interactions with ADMELOG Drugs That May Increase the Risk of Hypoglycemia Drugs: Antidiabetic agents, ACE inhibitors, angiotensin II receptor blocking agents, disopyramide, fibrates, fluoxetine, monoamine oxidase inhibitors, pentoxifylline, pramlintide, salicylates, somatostatin analogs (e.g., octreotide), and sulfonamide antibiotics. Intervention: Dose adjustment and increased frequency of glucose monitoring may be required when ADMELOG is concomitantly administered with these drugs. Drugs That May Decrease the Blood Glucose Lowering Effect of ADMELOG Drugs: Atypical antipsychotics (e.g., olanzapine and clozapine), corticosteroids, danazol, diuretics, estrogens, glucagon, isoniazid, niacin, oral contraceptives, phenothiazines, progestogens (e.g., in oral contraceptives), protease inhibitors, somatropin, sympathomimetic agents (e.g., albuterol, epinephrine, ",FDA_openFDA
SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,ZITUVIMET,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE,"Topiramate, Drugs Affecting, Drugs, Clinically Significant, Clearance Clinical, Certain, Impact, Consider, Clinical Pharmacology, Glycemic Control, Thiazides, Insulin Secretagogues, Examples, Concomitant, Alcohol, Alcohol Clinical, Intervention, Carbonic, Warn, Clinical Impact","7 DRUG INTERACTIONS Table 4 presents clinically significant drug interactions with ZITUVIMET: Table 4: Clinically Significant Drug Interactions with ZITUVIMET Carbonic Anhydrase Inhibitors Clinical Impact: Carbonic anhydrase inhibitors frequently cause a decrease in serum bicarbonate and induce non-anion gap, hyperchloremic metabolic acidosis. Concomitant use of these drugs with ZITUVIMET may increase the risk for lactic acidosis. Intervention: Consider more frequent monitoring of these patients. Examples: Topiramate, zonisamide, acetazolamide or dichlorphenamide. Drugs that Reduce Metformin Clearance Clinical Impact: Concomitant use of drugs that interfere with common renal tubular transport systems involved in the renal elimination of metformin (e.g., organic cationic transporter-2 [OCT 2 ] / multidrug and toxin extrusion [MATE] inhibitors) could increase systemic exposure to metformin and may increase the risk for lactic acidosis [see Clinical Pharmacology ( 12.3 )]. Intervention: C",FDA_openFDA
ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,"Myopathy, Niacin Clinical, Impact, Rifampin, Consider, Other Drugs, Clinical Pharmacology, Anti, Risk, Avoid, Digoxin, Atorvastatin, Administer, Grapefruit, Rhabdomyolysis, Examples, Concomitant, Atorvastatin Cyclosporine, Select Azole, Increase","7 DRUG INTERACTIONS See full prescribing information for details regarding concomitant use of atorvastatin calcium with other drugs or grapefruit juice that increase the risk of myopathy and rhabdomyolysis ( 2.5 , 7.1 ). Rifampin: May reduce atorvastatin plasma concentrations. Administer simultaneously with atorvastatin calcium ( 7.2 ). Oral Contraceptives: May increase plasma levels of norethindrone and ethinyl estradiol; consider this effect when selecting an oral contraceptive (7.3 ). Digoxin: May increase digoxin plasma levels; monitor patients appropriately ( 7.3 ). 7.1 Drug Interactions that may Increase the Risk of Myopathy and Rhabdomyolysis with Atorvastatin Calcium Atorvastatin is a substrate of CYP3A4 and transporters (e.g., OATP1B1/1B3, P-gp, or BCRP). Atorvastatin plasma levels can be significantly increased with concomitant administration of inhibitors of CYP3A4 and transporters. Table 2 includes a list of drugs that may increase exposure to atorvastatin and may increase ",FDA_openFDA
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,"Amlodipine, Monitor, Inducers No, Frequent, Limit, Sildenafil Monitor, Simvastatin Co, Blood, Immunosuppressants Amlodipine, Impact, Other Drugs, Inhibitors Co",7 DRUG INTERACTIONS Do not exceed doses greater than 20 mg daily of simvastatin. ( 7.2 ) 7.1 Impact of Other Drugs on Amlodipine CYP3A Inhibitors Co-administration with CYP3A inhibitors (moderate and strong) results in increased systemic exposure to amlodipine and may require dose reduction. Monitor for symptoms of hypotension and edema when amlodipine is co-administered with CYP3A inhibitors to determine the need for dose adjustment [see CLINICAL PHARMACOLOGY ( 12.3 )] . CYP3A Inducers No information is available on the quantitative effects of CYP3A inducers on amlodipine. Blood pressure should be closely monitored when amlodipine is co-administered with CYP3A inducers. Sildenafil Monitor for hypotension when sildenafil is co-administered with amlodipine [see CLINICAL PHARMACOLOGY ( 12.2 )] . 7.2 Impact of Amlodipine on Other Drugs Simvastatin Co-administration of simvastatin with amlodipine increases the systemic exposure of simvastatin. Limit the dose of simvastatin in patients on a,FDA_openFDA
